epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,332.926,0.92028,0.84167,1.09572,0.77743,0.78859,0.84328,0.66022,0.8574,0.67677,0.98268,2.94644e-05,2.94644e-05,2.94644e-05
40,342.062,0.98632,0.94298,1.11383,0.77579,0.77756,0.84335,0.65978,0.8552,0.67517,0.98132,2.71082e-05,2.71082e-05,2.71082e-05
41,350.741,0.98267,1.03251,1.07325,0.7764,0.7936,0.84467,0.65916,0.85965,0.69042,0.98244,2.4752e-05,2.4752e-05,2.4752e-05
42,358.987,1.01507,1.00017,1.09631,0.78079,0.78302,0.84176,0.65142,0.86153,0.70389,0.98348,2.23958e-05,2.23958e-05,2.23958e-05
43,368.264,0.98063,0.97185,1.07609,0.79601,0.77341,0.83081,0.64806,0.86852,0.70785,0.9866,2.00396e-05,2.00396e-05,2.00396e-05
44,376.44,0.97313,0.94032,1.09693,0.7918,0.74909,0.824,0.64277,0.87212,0.71437,0.98764,1.76834e-05,1.76834e-05,1.76834e-05
45,384.145,1.02111,0.9731,1.11077,0.76846,0.76752,0.82342,0.64168,0.87169,0.71239,0.98816,1.53272e-05,1.53272e-05,1.53272e-05
46,392.49,0.96137,0.90566,1.10349,0.78335,0.7639,0.82502,0.64405,0.86994,0.70722,0.987,1.2971e-05,1.2971e-05,1.2971e-05
47,400.751,0.9847,0.91723,1.11125,0.76928,0.76808,0.82318,0.64455,0.86889,0.70702,0.98669,1.06148e-05,1.06148e-05,1.06148e-05
48,408.649,0.99324,0.9044,1.10938,0.78012,0.7508,0.82291,0.64373,0.86884,0.70574,0.98726,8.2586e-06,8.2586e-06,8.2586e-06
49,416.331,0.97836,0.88182,1.09284,0.77964,0.75306,0.82513,0.64427,0.87281,0.70609,0.98893,5.9024e-06,5.9024e-06,5.9024e-06
50,423.924,0.98851,0.93292,1.10176,0.78605,0.74634,0.82383,0.64564,0.87398,0.70459,0.98976,3.5462e-06,3.5462e-06,3.5462e-06
